Mark Tobey,1890,1890,Abstract Expressionism
Mark di Suvero,1933,1933,Abstract Expressionism
Martin Chirino,1925,1925,Abstract Expressionism
Milton Resnick,1917,1917,Abstract Art
Morris Graves,1910,1910,Abstract Expressionism
Morris Louis,1912,1912,Abstract Expressionism
Moshe Kupferman,1926,1926,Abstract Expressionism
Myron Stout,1908,1908,Minimalism
Nasreen Mohamedi,1937,1937,Minimalism
Neil Welliver,1929,1929,Contemporary Realism
Nicolas Carone,1917,1917,Abstract Art
Norman Bluhm,1921,1921,Abstract Expressionism
Norman Lewis,1908,1908,Harlem Renaissance (New Negro Movement)
Oswaldo Vigas,1926,1926,Expressionism
Oyvind Fahlstrom,1928,1928,Neo-Dada
Pat Lipsky,1941,1941,Abstract Expressionism
Paul Guiragossian,1926,1926,Expressionism
Paul Jenkins,1923,1923,Abstract Art
Paul Reed,1919,1919,Post-Painterly Abstraction
Paul Wonner,1920,1920,Contemporary Realism
Pedro Coronel,1922,1922,Muralism
Peter Busa,1914,1914,Abstract Expressionism
Philip Guston,1913,1913,Abstract Expressionism
Phillip King,1934,1934,New Generation Sculpture
Pol Bury,1922,1922,Kinetic art
Rafa Nasiri,1940,1940,Contemporary
Ralph Hotere,1931,1931,Minimalism
Ralph Rosenborg,1913,1913,Abstract Expressionism
Raoul Ubac,1910,1910,Surrealism
Reuben Nakian,1897,1897,Expressionism
Richard Diebenkorn,1922,1922,Abstract Expressionism
Richard Hambleton,1952,1952,Street art
Richard Smith,1968,1968,Post-Painterly Abstraction
Richard Tuttle,1941,1941,Minimalism
Richards Ruben,1924,1924,Abstract Expressionism
Robert Goodnough,1917,1917,Abstract Art
Robert Huot,1935,1935,Post-Painterly Abstraction
Robert Motherwell,1915,1915,Abstract Expressionism
Robert Nickle,1919,1919,Abstract Expressionism
Robert Rauschenberg,1925,1925,Neo-Dada
Roberto Matta,1911,1911,Surrealism
Rodolfo Arico,1930,1930,Post-Painterly Abstraction
Romare Bearden,1911,1911,Harlem Renaissance (New Negro Movement)
Ronald Davis,1937,1937,Post-Painterly Abstraction
Ronnie Landfield,1947,1947,Abstract Expressionism
Sam Gilliam,1933,1933,Abstract Expressionism
Samia Halaby,1936,1936,Abstract Expressionism
Sherrie Levine,1947,1947,Conceptual Art
Sohrab Sepehri,1928,1928,Neo-Expressionism
Sonya Rapoport,1923,1923,CyberArt
Stephen Mueller,1947,1947,Abstract Expressionism
Taro Yamamoto,1974,1974,Abstract Expressionism
Terry Frost,1915,1915,Abstract Art
Theodoros Stamos,1922,1922,Abstract Expressionism
Toko Shinoda,1913,1913,Abstract Art
Tsuruko Yamazaki,1925,1925,Abstract Expressionism
Ulfert Wilke,1907,1907,Abstract Art
Vasile Dobrian,1912,1912,Social Realism
Walasse Ting,1929,1929,Abstract Expressionism
Warren Rohrer,1927,1927,Minimalism
William Baziotes,1912,1912,Surrealism
William Congdon,1912,1912,Abstract Expressionism
William Scott,1913,1913,Abstract Expressionism
William Tucker,1935,1935,New Generation Sculpture
William Turnbull,1922,1922,Abstract Expressionism
Yayoi Kusama,1929,1929,Feminist Art
Albert Aublet,1851,1851,Academic Art
Albert Edelfelt,1854,1854,Realism
Albert Joseph Moore,1841,1841,Academic Art
Alexander Ivanov,1806,1806,Academic Art
Alexandre Cabanel,1823,1823,Academic Art
Anders Zorn,1860,1860,Realism
Antonio Cabral Bejarano,1798,1798,Romanticism
Arturo Michelena,1863,1863,Romanticism
Auguste Toulmouche,1829,1829,Academic Art
Bertalan Szekely,1835,1835,Romanticism
Briton Riviere,1840,1840,Academic Art
Carl Bloch,1834,1834,Academic Art
Charles Gleyre,1806,1806,Romanticism
Charles Martin Powell,1775,1775,Academic Art
Charles Sprague Pearce,1851,1851,Academic Art
Christian Wilhelm Allers,1857,1857,Naturalism
Christina Robertson,1796,1796,Academic Art
Claude Monet,1840,1840,Impressionism
Domenico Induno,1815,1815,Romanticism
Edward Poynter,1836,1836,Academic Art
Emmanuel Zairis,1876,1876,Impressionism
Ernest Meissonier,1815,1815,Academic Art
Francesc Masriera,1842,1842,Art Nouveau
Francesco Hayez,1791,1791,Romanticism
Frederic Leighton,1830,1830,Academic Art
Frederick McCubbin,1855,1855,Impressionism
Fyodor Bronnikov,1827,1827,Romanticism
Gabriel Ferrier,1847,1847,Romanticism
Georg Pauli,1855,1855,Symbolism
George Demetrescu Mirea,1852,1852,Academic Art
George Frederick Watts,1817,1817,Symbolism
Guillaume Seignac,1870,1870,Academic Art
Gustave Boulanger,1824,1824,Academic Art
Henryk Siemiradzki,1843,1843,Romanticism
Herbert James Draper,1863,1863,Academic Art
Hermann David Salomon Corrodi,1844,1844,Romanticism
Jan Sluyters,1914,1914,Post-Impressionism
Jean-Paul Laurens,1838,1838,Academic Art
Jehan Georges Vibert,1840,1840,Academic Art
Joseph Ducreux,1735,1735,Rococo
Jules Bastien-Lepage,1848,1848,Realism
Jules Breton,1827,1827,Realism
Jules Joseph Lefebvre,1834,1834,Academic Art
Konstantin Bogaevsky,1872,1872,Symbolism
Konstantin Makovsky,1839,1839,Romanticism
Konstantin Vasilyev,1984,1984,Symbolism
Károly Lotz,1833,1833,Romanticism
Leon Bonnat,1833,1833,Academic Art
Ludwig Knaus,1829,1829,Academic Art
Ludwig Passini,1832,1832,Academic Art
Luke Fildes,1844,1844,Social Realism
Léon Cogniet,1794,1794,Romanticism
Marie Bracquemond,1840,1840,Impressionism
Marià Fortuny,1838,1838,Romanticism
Mihaly Munkacsy,1844,1844,Realism
Mikhail Vrubel,1856,1856,Symbolism
Miklos Barabas,1922,1922,Romanticism
Mohammad Hadi Tajvidi,1893,1893,Academic Art
Nikola Martinoski,1903,1903,Realism
Nikolai Ge,1831,1831,Realism
Nikolaos Gyzis,1842,1842,Romanticism
Pablo Picasso,1881,1881,Post-Impressionism
Paul Delaroche,1797,1797,Romanticism
Paul Peel,1860,1860,Academic Art
Paul-Albert Besnard,1849,1849,Academic Art
Pedro Américo,1843,1843,Romanticism
Petrus van Schendel,1806,1806,Romanticism
Raja Ravi Varma,1848,1848,Academic Art
Rodolfo Amoedo,1857,1857,Romanticism
Rubens Santoro,1859,1859,Realism
Sir Lawrence Alma-Tadema,1836,1836,Neoclassicism
Solomon Joseph Solomon,1860,1860,Academic Art
Theodor Aman,1831,1831,Romanticism
Thomas Couture,1815,1815,Academic Art
Thomas Francis Dicksee,1819,1819,Romanticism
Vasily Surikov,1848,1848,Realism
Victor Meirelles,1832,1832,Romanticism
Vincenzo Camuccini,1771,1771,Neoclassicism
Wilhelm Kotarbinski,1849,1849,Art Nouveau
William-Adolphe Bouguereau,1825,1825,Neoclassicism
Wojciech Weiss,1875,1875,Art Nouveau
Arnulf Rainer,1929,1929,Viennese Actionism
Brion Gysin,1916,1916,Surrealism
Franz Kline,1910,1910,Abstract Art
N.C. Wyeth,1882,1882,Romanticism
Rockwell Kent,1882,1882,Modernism
Stuart Davis,1892,1892,Cubism
Albert Gleizes,1881,1881,Cubism
Georges Braque,1882,1882,Cubism
Jean Metzinger,1883,1883,Cubism
Juan Gris,1887,1887,Cubism
Pavel Filonov,1883,1883,Abstract Art
Yervand Kochar,1899,1899,Cubism
August Natterer,1868,1868,Outsider art (Art brut)
Bill Traylor,1854,1854,Outsider art (Art brut)
David Lynch,1946,1946,Outsider art (Art brut)
Gaston Chaissac,1910,1910,Outsider art (Art brut)
Henry Darger,1892,1892,Outsider art (Art brut)
